source,target,weight
S01,S02,2
S01,S05,4
S01,S07,1
S02,S01,2
S02,S05,4
S02,S07,2
S03,S04,3
S03,S05,5
S03,S06,1
S03,S14,3
S04,S01,3
S04,S03,2
S04,S05,2
S05,S04,2
S05,S07,1
S06,S03,2
S06,S04,2
S06,S05,2
S07,S02,3
S07,S04,2
S07,S05,5
S07,S15,1
S08,S05,3
S08,S11,1
S08,S13,2
S09,S08,1
S09,S13,2
S10,S05,2
S10,S08,3
S10,S14,7
S11,S13,1
S11,S14,2
S12,S05,3
S12,S09,1
S12,S14,3
S12,S21,2
S13,S05,2
S13,S10,3
S13,S11,1
S14,S03,2
S14,S05,4
S14,S09,2
S14,S12,3
S14,S18,3
S14,S24,4
S15,S05,2
S15,S17,1
S15,S18,2
S16,S15,2
S16,S17,3
S17,S05,4
S17,S18,2
S17,S21,1
S18,S05,4
S18,S14,2
S18,S19,3
S18,S21,3
S19,S05,2
S19,S15,1
S19,S21,2
S20,S05,3
S20,S16,3
S20,S17,3
S20,S27,2
S21,S05,4
S21,S15,2
S21,S16,2
S22,S05,3
S22,S11,1
S22,S24,1
S22,S28,3
S23,S05,3
S23,S24,2
S23,S28,2
S24,S14,2
S24,S26,2
S24,S28,1
S25,S23,1
S25,S26,2
S26,S04,1
S26,S05,4
S26,S23,2
S26,S25,2
S27,S05,2
S27,S25,1
S27,S26,1
S28,S22,2
S28,S27,3
