student_id,grade,field
S01,1,Finance
S02,2,Finance
S03,3,Finance
S04,4,Finance
S05,1,Finance
S06,2,Finance
S07,3,Finance
S08,4,Econometrics
S09,1,Econometrics
S10,2,Econometrics
S11,3,Econometrics
S12,4,Econometrics
S13,1,Econometrics
S14,2,Econometrics
S15,3,Strategy
S16,4,Strategy
S17,1,Strategy
S18,2,Strategy
S19,3,Strategy
S20,4,Strategy
S21,1,Strategy
S22,2,Sociology
S23,3,Sociology
S24,4,Sociology
S25,1,Sociology
S26,2,Sociology
S27,3,Sociology
S28,4,Sociology
S29,1,Sociology
S30,2,Sociology
