student_id,grade,field,indegree,outdegree,weighted_indegree,weighted_outdegree,betweenness_unweighted,betweenness_distance,constraint,effective_size,community,is_isolate
S01,1,Finance,2,3,5.0,7.0,0.00574712643678161,0.020935960591133004,0.5744928389295412,2.1833333333333336,1,0
S02,2,Finance,2,3,5.0,8.0,0.0006157635467980296,0.003078817733990148,0.6319993559553999,1.6474358974358974,1,0
S03,3,Finance,3,4,6.0,12.0,0.13546798029556653,0.19704433497536947,0.422723236924116,2.756084656084656,1,0
S04,4,Finance,5,3,10.0,7.0,0.12479474548440066,0.20504926108374386,0.4522369492459293,3.919607843137255,1,0
S05,1,Finance,21,2,67.0,3.0,0.16960767065446866,0.22536945812807882,0.13395696075680372,18.99486394557823,1,0
S06,2,Finance,1,3,1.0,6.0,0.0,0.0,0.6841919705056891,1.223809523809524,1,0
S07,3,Finance,3,4,4.0,11.0,0.11652885292047854,0.023399014778325122,0.5486077147765942,2.6555555555555554,1,0
S08,4,Econometrics,2,3,4.0,6.0,0.023255336617405583,0.0024630541871921183,0.42307812072487394,3.6285714285714286,2,0
S09,1,Econometrics,2,2,3.0,3.0,0.09482758620689655,0.0979064039408867,0.40842608467301333,3.1904761904761907,2,0
S10,2,Econometrics,1,3,3.0,12.0,0.0179392446633826,0.06773399014778325,0.4214743200485566,2.9571428571428573,2,0
S11,3,Econometrics,3,2,3.0,3.0,0.060180623973727414,0.017241379310344827,0.3249862258953168,3.6666666666666665,2,0
S12,4,Econometrics,1,4,3.0,9.0,0.019977128782547503,0.0,0.4582788194749262,2.638888888888889,2,0
S13,1,Econometrics,3,3,5.0,6.0,0.06316854327938072,0.10406403940886699,0.35779464402841027,3.9307359307359304,2,0
S14,2,Econometrics,6,6,19.0,18.0,0.4152064273985456,0.479064039408867,0.19957250061953502,7.283526383526383,2,0
S15,3,Strategy,4,3,6.0,5.0,0.12552779732582686,0.029556650246305417,0.39776961034522557,4.4803030303030305,3,0
S16,4,Strategy,2,2,5.0,5.0,0.003987802017358668,0.027093596059113302,0.4300441948473604,2.85,3,0
S17,1,Strategy,3,3,7.0,7.0,0.035303776683087026,0.04310344827586207,0.41895337999988347,3.3666666666666667,3,0
S18,2,Strategy,3,4,7.0,12.0,0.17958597231996248,0.2044334975369458,0.34731795239264374,4.015664160401003,3,0
S19,3,Strategy,1,3,3.0,5.0,0.002383884588318086,0.0,0.5431443727775809,1.6729166666666666,3,0
S20,4,Strategy,0,4,0.0,11.0,0.0,0.0,0.4355437700026443,2.8257575757575757,3,0
S21,1,Strategy,4,3,8.0,8.0,0.03974900304949566,0.07389162561576355,0.3669589046236741,4.545833333333333,3,0
S22,2,Sociology,1,4,2.0,8.0,0.031034482758620686,0.02647783251231527,0.37955980257116617,3.8966666666666665,4,0
S23,3,Sociology,2,3,3.0,7.0,0.046182266009852216,0.046798029556650245,0.3606560990236315,4.026666666666666,4,0
S24,4,Sociology,3,3,7.0,5.0,0.19507389162561573,0.2044334975369458,0.37204457609490077,4.516666666666667,2,0
S25,1,Sociology,2,2,3.0,3.0,0.008312807881773398,0.0,0.6307813331093752,2.2083333333333335,4,0
S26,2,Sociology,3,4,5.0,9.0,0.08106673703964343,0.08866995073891626,0.32991473909380564,4.765476190476191,4,0
S27,3,Sociology,2,3,5.0,4.0,0.018226600985221674,0.01600985221674877,0.32334041530770724,4.148148148148148,4,0
S28,4,Sociology,3,2,6.0,5.0,0.07491789819376025,0.06958128078817734,0.3565679522497704,3.784848484848485,4,0
S29,1,Sociology,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
S30,2,Sociology,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
