node,degree_count,degree_centrality,distance_sum,closeness_centrality,betweenness_raw,betweenness_centrality,eigenvector_centrality
A,4,0.4,25,0.4,17.833333333333336,0.39629629629629637,0.4204810086220248
B,3,0.30000000000000004,22,0.45454545454545453,21.833333333333332,0.48518518518518516,0.3603350517242651
C,3,0.30000000000000004,21,0.47619047619047616,15.166666666666668,0.3370370370370371,0.4350309144942966
D,3,0.30000000000000004,22,0.45454545454545453,13.666666666666664,0.30370370370370364,0.4465305236076859
E,3,0.30000000000000004,27,0.37037037037037035,17.0,0.37777777777777777,0.19563116339653316
F,1,0.1,36,0.2777777777777778,0.0,0.0,0.07499458328623451
G,2,0.2,23,0.43478260869565216,6.000000000000001,0.13333333333333336,0.30930934795214254
H,2,0.2,24,0.4166666666666667,5.5,0.12222222222222223,0.3279577704061485
I,1,0.1,34,0.29411764705882354,0.0,0.0,0.16119005516965537
J,1,0.1,36,0.2777777777777778,0.0,0.0,0.07499458328623451
K,1,0.1,34,0.29411764705882354,0.0,0.0,0.16119005516965537
