make,price,mpg,rep78,headroom,trunk,weight,length,turn,displacement,gear_ratio,foreign,car_id
AMC Concord,4099,22,3,2.5,11,2930,186,40,121,3.5799999,0,1
AMC Pacer,4749,17,3,3,11,3350,173,40,258,2.53,0,2
AMC Spirit,3799,22,,3,12,2640,168,35,121,3.0799999,0,3
Buick Century,4816,20,3,4.5,16,3250,196,40,196,2.9300001,0,4
Buick Electra,7827,15,4,4,20,4080,222,43,350,2.4100001,0,5
Buick LeSabre,5788,18,3,4,21,3670,218,43,231,2.73,0,6
Buick Opel,4453,26,,3,10,2230,170,34,304,2.8699999,0,7
Buick Regal,5189,20,3,2,16,3280,200,42,196,2.9300001,0,8
Buick Riviera,10372,16,3,3.5,17,3880,207,43,231,2.9300001,0,9
Buick Skylark,4082,19,3,3.5,13,3400,200,42,231,3.0799999,0,10
Cad. Deville,11385,14,3,4,20,4330,221,44,425,2.28,0,11
Cad. Eldorado,14500,14,2,3.5,16,3900,204,43,350,2.1900001,0,12
Cad. Seville,15906,21,3,3,13,4290,204,45,350,2.24,0,13
Chev. Chevette,3299,29,3,2.5,9,2110,163,34,231,2.9300001,0,14
Chev. Impala,5705,16,4,4,20,3690,212,43,250,2.5599999,0,15
Chev. Malibu,4504,22,3,3.5,17,3180,193,31,200,2.73,0,16
Chev. Monte Carlo,5104,22,2,2,16,3220,200,41,200,2.73,0,17
Chev. Monza,3667,24,2,2,7,2750,179,40,151,2.73,0,18
Chev. Nova,3955,19,3,3.5,13,3430,197,43,250,2.5599999,0,19
Dodge Colt,3984,30,5,2,8,2120,163,35,98,3.54,0,20
Dodge Diplomat,4010,18,2,4,17,3600,206,46,318,2.47,0,21
Dodge Magnum,5886,16,2,4,17,3600,206,46,318,2.47,0,22
Dodge St. Regis,6342,17,2,4.5,21,3740,220,46,225,2.9400001,0,23
Ford Fiesta,4389,28,4,1.5,9,1800,147,33,98,3.1500001,0,24
Ford Mustang,4187,21,3,2,10,2650,179,43,140,3.0799999,0,25
Linc. Continental,11497,12,3,3.5,22,4840,233,51,400,2.47,0,26
Linc. Mark V,13594,12,3,2.5,18,4720,230,48,400,2.47,0,27
Linc. Versailles,13466,14,3,3.5,15,3830,201,41,302,2.47,0,28
Merc. Bobcat,3829,22,4,3,9,2580,169,39,140,2.73,0,29
Merc. Cougar,5379,14,4,3.5,16,4060,221,48,302,2.75,0,30
Merc. Marquis,6165,15,3,3.5,23,3720,212,44,302,2.26,0,31
Merc. Monarch,4516,18,3,3,15,3370,198,41,250,2.4300001,0,32
Merc. XR-7,6303,14,4,3,16,4130,217,45,302,2.75,0,33
Merc. Zephyr,3291,20,3,3.5,17,2830,195,43,140,3.0799999,0,34
Olds 98,8814,21,4,4,20,4060,220,43,350,2.4100001,0,35
Olds Cutl Supr,5172,19,3,2,16,3310,198,42,231,2.9300001,0,36
Olds Cutlass,4733,19,3,4.5,16,3300,198,42,231,2.9300001,0,37
Olds Delta 88,4890,18,4,4,20,3690,218,42,231,2.73,0,38
Olds Omega,4181,19,3,4.5,14,3370,200,43,231,3.0799999,0,39
Olds Starfire,4195,24,1,2,10,2730,180,40,151,2.73,0,40
Olds Toronado,10371,16,3,3.5,17,4030,206,43,350,2.4100001,0,41
Plym. Arrow,4647,28,3,2,11,3260,170,37,156,3.05,0,42
Plym. Champ,4425,34,5,2.5,11,1800,157,37,86,2.97,0,43
Plym. Horizon,4482,25,3,4,17,2200,165,36,105,3.3699999,0,44
Plym. Sapporo,6486,26,,1.5,8,2520,182,38,119,3.54,0,45
Plym. Volare,4060,18,2,5,16,3330,201,44,225,3.23,0,46
Pont. Catalina,5798,18,4,4,20,3700,214,42,231,2.73,0,47
Pont. Firebird,4934,18,1,1.5,7,3470,198,42,231,3.0799999,0,48
Pont. Grand Prix,5222,19,3,2,16,3210,201,45,231,2.9300001,0,49
Pont. Le Mans,4723,19,3,3.5,17,3200,199,40,231,2.9300001,0,50
Pont. Phoenix,4424,19,,3.5,13,3420,203,43,231,3.0799999,0,51
Pont. Sunbird,4172,24,2,2,7,2690,179,41,151,2.73,0,52
