make,price,mpg,rep78,headroom,trunk,weight,length,turn,displacement,gear_ratio,foreign,car_id
Audi 5000,9690,17,5,3,15,2830,189,37,131,3.2,1,53
Audi Fox,6295,23,3,2.5,11,2070,174,36,97,3.7,1,54
BMW 320i,9735,25,4,2.5,12,2650,177,34,121,3.6400001,1,55
Datsun 200,6229,23,4,1.5,6,2370,170,35,119,3.8900001,1,56
Datsun 210,4589,35,5,2,8,2020,165,32,85,3.7,1,57
Datsun 510,5079,24,4,2.5,8,2280,170,34,119,3.54,1,58
Datsun 810,8129,21,4,2.5,8,2750,184,38,146,3.55,1,59
Fiat Strada,4296,21,3,2.5,16,2130,161,36,105,3.3699999,1,60
Honda Accord,5799,25,5,3,10,2240,172,36,107,3.05,1,61
Honda Civic,4499,28,4,2.5,5,1760,149,34,91,3.3,1,62
Mazda GLC,3995,30,4,3.5,11,1980,154,33,86,3.73,1,63
Peugeot 604,12990,14,,3.5,14,3420,192,38,163,3.5799999,1,64
Renault Le Car,3895,26,3,3,10,1830,142,34,79,3.72,1,65
Subaru,3798,35,5,2.5,11,2050,164,36,97,3.8099999,1,66
Toyota Celica,5899,18,5,2.5,14,2410,174,36,134,3.0599999,1,67
Toyota Corolla,3748,31,5,3,9,2200,165,35,97,3.21,1,68
Toyota Corona,5719,18,5,2,11,2670,175,36,134,3.05,1,69
VW Dasher,7140,23,4,2.5,12,2160,172,36,97,3.74,1,70
VW Diesel,5397,41,5,3,15,2040,155,35,90,3.78,1,71
VW Rabbit,4697,25,4,3,15,1930,155,35,89,3.78,1,72
VW Scirocco,6850,25,4,2,16,1990,156,36,97,3.78,1,73
Volvo 260,11995,17,5,2.5,14,3170,193,37,163,2.98,1,74
