A,age,education,pre_income,income,employed
1,21,17,6.6411881892179085,7.415810330313264,0
1,43,12,3.2916022981704742,3.132423115783536,0
0,46,18,5.968720400434253,7.621995309460908,0
1,35,14,5.543304492226605,7.293033566892437,0
0,25,16,7.75092787380473,8.093351576280934,0
0,40,11,6.101116377511458,4.288776982554165,0
1,32,12,6.857395058508608,8.066490714485173,1
0,49,18,2.347227302797929,5.512263293439858,0
1,25,15,1.437928458518504,2.941950213521409,1
0,46,11,6.386100368620794,6.855551769640292,1
1,53,18,6.1966843597242045,7.516560414158178,1
1,39,11,2.0931009727865564,3.052221941537829,0
0,37,12,4.605611538437735,6.066543381974371,1
1,47,9,2.251090112906167,3.303895806326465,1
1,47,9,7.5773147886655945,7.977167361578887,0
0,30,16,6.478398713144234,5.573175537014904,0
0,46,12,6.85131102912632,4.907325520506799,0
0,30,15,3.1914230003519073,4.604560834840839,1
1,25,14,5.324109311579938,5.4082753270348105,1
1,22,14,6.556535037846625,6.935072351690331,1
1,33,18,1.2837011646929999,1.367505031964708,0
0,49,9,4.376135937075463,3.533166877760494,0
1,45,10,5.264857258490019,5.133048627717071,1
1,41,9,1.820873781279952,1.9844157900660773,1
0,29,14,2.6317883304263527,2.2205488808904055,0
0,36,12,6.604170381100385,6.839094716157569,0
0,26,17,7.985708414485449,7.929519268183361,1
0,36,13,4.004631742400878,3.0255307793241775,0
0,41,15,4.615164302150068,2.929526862663562,1
0,51,10,6.1703612548316356,5.31586094037207,1
0,37,14,1.661685333980314,3.6215762655670485,1
0,32,18,4.243442247120025,6.128310638216709,1
1,28,18,1.8090309961958517,2.5753027665754895,0
1,51,17,2.5765983754034822,5.468167818576125,0
0,47,11,3.1621727304651284,2.771271042727488,0
1,45,17,7.408274826505624,6.730940558066946,0
0,23,13,7.9977164367109115,8.05954202044934,0
1,20,11,6.381520060736224,8.105358707123449,0
0,23,10,1.3731691276503266,2.2980357199871753,1
1,29,14,7.629251156375318,8.963490373337187,1
0,46,12,6.328602040463347,5.147771070450522,1
0,52,10,4.3254033106902465,5.419429237617314,1
0,44,13,2.4016838806375524,1.9981821707954777,0
1,48,17,1.9989097742658863,4.550714469449107,0
0,21,11,3.0074026720875757,4.088367046110491,0
0,26,18,4.907848156377936,4.137458384000629,0
1,43,14,5.310681102723703,5.895184871121174,1
1,31,13,2.3768105869877107,1.1355660813395252,0
