year,g4,econ_group,alpha_hat,alpha_e,alpha_manual,dem_mean,xb_mean,residual_mean,n_countries,group_key,econ_label,identity_gap,alpha_manual_gap,abs_identity_gap,abs_manual_gap,abs_residual_mean
1970,1,1,-.076169980652204,-.076169980652204,-.0761699806522039,.9141414030303029,.9903113836825069,6.05576195250e-17,33,high_democracy,高民主组,-1.11022302463e-16,1.11022302463e-16,1.11022302463e-16,1.11022302463e-16,6.05576195250e-17
1975,1,1,-.1266554351209547,-.1266554351209547,-.1266554351209544,.8838383727272726,1.010493807848228,1.48029736617e-16,33,high_democracy,高民主组,-2.22044604925e-16,2.77555756156e-16,2.22044604925e-16,2.77555756156e-16,1.48029736617e-16
1980,1,1,-.1364448296515275,-.1364448296515275,-.1364448296515273,.8737373666666666,1.010182196318194,1.88401482967e-16,33,high_democracy,高民主组,0,1.66533453694e-16,0,1.66533453694e-16,1.88401482967e-16
1985,1,1,-.0927404949770954,-.0927404949770954,-.0927404949770953,.9242424212121212,1.016982916189217,5.71933073292e-17,33,high_democracy,高民主组,0,6.93889390391e-17,0,6.93889390391e-17,5.71933073292e-17
1990,1,1,-.1280873671025854,-.1280873671025854,-.1280873671025853,.9090909060606061,1.037178273163191,6.72862439167e-18,33,high_democracy,高民主组,3.33066907388e-16,1.38777878078e-16,3.33066907388e-16,1.38777878078e-16,6.72862439167e-18
1995,1,1,-.1789016013759879,-.1789016013759879,-.178901601375988,.8636363636363636,1.042537965012351,-6.05576195250e-17,33,high_democracy,高民主组,3.33066907388e-16,-1.11022302463e-16,3.33066907388e-16,1.11022302463e-16,6.05576195250e-17
2000,1,1,-.1418694177336567,-.1418694177336567,-.1418694177336567,.8939393909090909,1.035808808642748,-6.72862439167e-18,33,high_democracy,高民主组,-3.33066907388e-16,2.77555756156e-17,3.33066907388e-16,2.77555756156e-17,6.72862439167e-18
1970,2,2,-.5961335891534808,-.5961335891534808,-.5961335891534809,.2179487153846154,.8140823045380964,-4.69709741188e-17,13,early_transition,较早转型组,-1.94289029309e-16,-1.11022302463e-16,1.94289029309e-16,1.11022302463e-16,4.69709741188e-17
1975,2,2,-.3560865886071934,-.3560865886071934,-.3560865886071934,.384615376923077,.7407019655302703,-2.56205313375e-17,13,early_transition,较早转型组,5.55111512313e-17,0,5.55111512313e-17,0,2.56205313375e-17
1980,2,2,-.2417697863288302,-.2417697863288302,-.2417697863288303,.5641025538461538,.8058723401749843,-4.69709741188e-17,13,early_transition,较早转型组,-3.33066907388e-16,-8.32667268469e-17,3.33066907388e-16,8.32667268469e-17,4.69709741188e-17
1985,2,2,-.0755702793124817,-.0755702793124817,-.0755702793124817,.7948717846153845,.8704420639278664,8.54017711250e-18,13,early_transition,较早转型组,-1.11022302463e-16,1.38777878078e-17,1.11022302463e-16,1.38777878078e-17,8.54017711250e-18
