model,b_lag_dem,se_lag_dem,b_lag_income,se_lag_income,long_run
static_g10_sandwich,,,.10010965,.0082914885,
static_g10_fixedt,,,.10010965,.013081576,
static_g10_bootstrap_500,,,.10010965,.030071745,
dynamic_twfe,.2834780939764819,.053244479,-.031254228,.045549084,
dynamic_g10_sandwich,.2771790565849003,.048760653,.0752583,.008031386,.10411749
dynamic_bridge_reghdfe,.094964848122557,.046931673,.024634942,.030578092,.027219875
dynamic_g10_fixedt,.2771790565849003,.062264778,.0752583,.0098983943,.10411749
dynamic_g10_bootstrap_500,.2771790565849003,.22985841,.0752583,.018481122,.10411749
dynamic_g10_bootstrap_999,.2771790565849003,.22855078,.0752583,.017985981,.10411749
dynamic_g10_bootstrap_999_alt,.2771790565849003,.23494299,.0752583,.018191155,.10411749
