groups,bic,ssr
15,.0368726584934874,5.939645003507145
14,.0365145873333623,6.331564810035118
13,.0362360460547105,6.77358844189127
12,.0360068195940568,7.246680409086188
11,.0359422324276587,7.823495131662209
10,.0358428885958921,8.378413155056021
9,.0359168852563466,9.042535688549169
8,.0361743504690548,9.822243409962081
7,.036625068839958,10.72370062103791
6,.0371704775856533,11.68481276823273
5,.0387482964500475,13.29634329020781
4,.0418068339818641,15.8407265726591
3,.0461830125737297,19.21522372294117
2,.0569231360641572,26.59900615931732
1,.0802247219868856,41.89650992804298
